Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,07/01/2019,#2503,"$987,500",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,706
20 Pine Street,07/01/2019,#2215,"$848,000","Sold (asking: $875,000.00 -3.09%)",studio,1 bath,705
20 Pine Street,07/01/2019,#2415,"$875,000","Sold (asking: $885,000.00 -1.13%)",studio,1 bath,700
20 Pine Street,06/29/2019,#1412,"$850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,800
20 Pine Street,06/25/2019,#2103,"$870,000","Sold (asking: $875,000.00 -0.57%)",studio,1 bath,820
20 Pine Street,06/20/2019,#1911,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,06/17/2019,#1806,"$1,040,000","Sold (asking: $1,070,000.00 -2.8%)",studio,1 bath,1070
20 Pine Street,06/14/2019,#3204,"$2,000,000","Sold (asking: $2,195,000.00 -8.88%)",2 beds,2 baths,1573
20 Pine Street,06/07/2019,#2406,"$2,230,000",Recorded Closing,2 beds,2 baths,1807
20 Pine Street,05/30/2019,#1016,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,05/22/2019,#1713,"$1,875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,04/23/2019,#512,"$835,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,786
20 Pine Street,04/17/2019,#1602,"$1,800,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
20 Pine Street,04/15/2019,#1814,"$1,355,000","Sold (asking: $1,450,000.00 -6.55%)",1 bed,2 baths,1204
20 Pine Street,04/10/2019,#2007,"$1,088,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,
20 Pine Street,03/29/2019,#3204,"$2,195,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,03/27/2019,#1706,"$1,095,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,03/21/2019,#2114,"$1,385,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,03/08/2019,#1819,"$950,000","Sold (asking: $997,000.00 -4.71%)",1 bed,1 bath,826
20 Pine Street,02/21/2019,#609,"$717,500",Recorded Closing,,1 bath,662
20 Pine Street,01/22/2019,#1703,"$767,000","Sold (asking: $839,000.00 -8.58%)",studio,1 bath,656
20 Pine Street,01/19/2019,#1715,"$920,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,01/11/2019,#1611,"$1,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1225
20 Pine Street,01/11/2019,#1413,"$1,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1580
20 Pine Street,01/10/2019,#1109,"$769,000",Sold (cannot find gov't record),studio,1 bath,662
20 Pine Street,01/09/2019,#2314,"$1,245,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,12/28/2018,#1503,"$770,000","Sold (asking: $785,000.00 -1.91%)",studio,1 bath,656
20 Pine Street,12/20/2018,#1606,"$1,175,000",Sold (cannot find gov't record),studio,1 bath,1070
20 Pine Street,12/20/2018,#1109,"$715,000","Sold (asking: $825,000.00 -13.33%)",studio,1 bath,662
20 Pine Street,12/16/2018,#806,"$1,199,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,12/16/2018,#1607,"$839,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,12/14/2018,#2407,"$935,000","Sold (asking: $975,000.00 -4.1%)",studio,1 bath,926
20 Pine Street,12/12/2018,#909,"$749,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,12/01/2018,#2414,"$1,239,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,11/20/2018,#1911,"$1,020,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,10/30/2018,#1611,"$1,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1225
20 Pine Street,10/30/2018,#706,"$1,280,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,10/18/2018,#1417,"$920,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,10/11/2018,#2403,"$900,000","Sold (asking: $909,900.00 -1.09%)",studio,1 bath,820
20 Pine Street,10/11/2018,#2209,"$1,830,000","Sold (asking: $1,848,000.00 -0.97%)",2 beds,2 baths,1444
20 Pine Street,10/08/2018,#513,"$2,095,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,10/01/2018,#2408,"$942,500","Sold (asking: $942,500.00)",studio,1 bath,927
20 Pine Street,09/30/2018,#1715,"$925,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,09/26/2018,#1909,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,09/26/2018,#2115,"$903,000",Recorded Closing,,1 bath,703
20 Pine Street,09/14/2018,#711,"$999,999","Sold (asking: $1,145,000.00 -12.66%)",2 beds,1 bath,1223
20 Pine Street,08/22/2018,#1602,"$1,895,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
20 Pine Street,08/22/2018,#803,"$752,500","Sold (asking: $759,000.00 -0.86%)",studio,1 bath,656
20 Pine Street,08/21/2018,#1515,"$949,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,822
20 Pine Street,08/19/2018,#1806,"$1,175,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,08/14/2018,#1003,"$763,000","Sold (asking: $768,000.00 -0.65%)",studio,1 bath,656
20 Pine Street,08/10/2018,#2210,"$890,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,667
20 Pine Street,08/06/2018,#815,"$950,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,07/31/2018,#3102,"$1,750,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1185
20 Pine Street,07/24/2018,#PH41,"$3,400,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1476
20 Pine Street,07/23/2018,#3204,"$2,195,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1573
20 Pine Street,07/11/2018,#2105,"$780,000","Sold (asking: $799,000.00 -2.38%)",studio,1 bath,644
20 Pine Street,07/10/2018,#2103,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,820
20 Pine Street,07/05/2018,#519,$0,Recorded Closing,1 bed,1 bath,826
20 Pine Street,06/28/2018,#807,"$755,000","Sold (asking: $750,000.00 0.67%)",studio,1 bath,675
20 Pine Street,06/23/2018,#1607,$0,Recorded Closing,,1 bath,675
20 Pine Street,06/13/2018,#1716,"$962,500","Sold (asking: $999,000.00 -3.65%)",studio,1 bath,1005
20 Pine Street,06/08/2018,#818,"$1,700,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,06/05/2018,#2407,"$1,198,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,926
20 Pine Street,06/05/2018,#1517,"$975,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,05/22/2018,#2114,"$1,385,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,05/16/2018,#1816,"$955,000","Sold (asking: $1,050,000.00 -9.05%)",studio,1 bath,1005
20 Pine Street,05/15/2018,#3204,"$2,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,05/15/2018,#3204A,"$2,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1600
20 Pine Street,05/15/2018,#901,"$1,100,000","Sold (asking: $1,195,000.00 -7.95%)",studio,1 bath,1005
20 Pine Street,05/10/2018,#2404,"$810,000","Sold (asking: $860,000.00 -5.81%)",studio,1 bath,694
20 Pine Street,05/07/2018,#PH42,$0,Recorded Closing,3 beds,2 baths,1772
20 Pine Street,04/27/2018,#2901,"$2,450,000","Sold (asking: $2,695,000.00 -9.09%)",2 beds,3 baths,1891
20 Pine Street,04/26/2018,#2215,"$959,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,
20 Pine Street,04/26/2018,#406,"$1,225,000","Sold (asking: $1,295,000.00 -5.41%)",1 bed,1 bath,1372
20 Pine Street,04/25/2018,#2904,"$1,780,000","Sold (asking: $1,800,000.00 -1.11%)",2 beds,2 baths,1450
20 Pine Street,04/12/2018,#1016,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,04/12/2018,#1107,"$770,000","Sold (asking: $799,000.00 -3.63%)",studio,1 bath,675
20 Pine Street,04/07/2018,#2314,"$1,550,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,04/04/2018,#1805,"$1,195,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,03/23/2018,#3204,"$2,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,03/19/2018,#1805,"$1,125,000","Sold (asking: $1,295,000.00 -13.13%)",studio,1 bath,1100
20 Pine Street,03/15/2018,#PH12,$0,Recorded Closing,2 beds,2 baths,1829
20 Pine Street,03/13/2018,#809,"$775,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,670
20 Pine Street,03/05/2018,#501,"$1,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1276
20 Pine Street,03/05/2018,#1608,"$1,367,500","Sold (asking: $1,399,000.00 -2.25%)",1 bed,1.5 baths,1208
20 Pine Street,02/13/2018,#2307,"$499,990",Recorded Closing,1 bed,1 bath,926
20 Pine Street,02/11/2018,#406,"$1,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1372
20 Pine Street,02/11/2018,#1016,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,02/10/2018,#1007,"$875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,02/08/2018,#910,"$1,130,000","Sold (asking: $1,295,000.00 -12.74%)",1 bed,1 bath,1101
20 Pine Street,02/06/2018,#901,"$1,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1005
20 Pine Street,02/01/2018,#2007,"$960,000","Sold (asking: $999,000.00 -3.9%)",studio,1 bath,925
20 Pine Street,12/13/2017,#612,"$995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,780
20 Pine Street,12/04/2017,#2410,$1,Recorded Closing,,1 bath,607
20 Pine Street,12/04/2017,#2604,"$1,250,000","Sold (asking: $1,345,000.00 -7.06%)",1 bed,1.5 baths,1045
20 Pine Street,12/01/2017,#1611,"$1,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1223
20 Pine Street,11/28/2017,#2408,"$1,045,000",Sold (cannot find gov't record),studio,1 bath,927
20 Pine Street,11/22/2017,#PH32,"$3,595,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1832
20 Pine Street,11/13/2017,#1515,"$999,999",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
