Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,09/08/2016,#618,"$2,088,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1400
20 Pine Street,09/06/2016,#2704,"$1,450,000","Sold (asking: $1,600,000.00 -9.38%)",1 bed,1.5 baths,1045
20 Pine Street,08/25/2016,#2110,"$32,814",Recorded Closing,,1 bath,607
20 Pine Street,08/14/2016,#1006,"$1,425,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,08/08/2016,#912,"$885,000","Sold (asking: $875,000.00 1.14%)",studio,1 bath,780
20 Pine Street,08/05/2016,#1510,"$1,155,000","Sold (asking: $1,175,000.00 -1.7%)",studio,1 bath,1101
20 Pine Street,07/31/2016,#904,"$1,795,000",Sold (cannot find gov't record),1 bed,2 baths,1277
20 Pine Street,07/13/2016,#2901,"$2,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1891
20 Pine Street,07/07/2016,#2306,"$2,350,000","Sold (asking: $2,495,000.00 -5.81%)",2 beds,2 baths,1807
20 Pine Street,07/01/2016,#1614,"$1,680,000","Sold (asking: $1,750,000.00 -4.0%)",1 bed,2 baths,1204
20 Pine Street,06/30/2016,#605,"$1,460,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1150
20 Pine Street,06/20/2016,#817,"$950,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,06/17/2016,#1013,"$2,300,000",Sold (cannot find gov't record),2 beds,2 baths,1585
20 Pine Street,06/17/2016,#2202,"$2,200,000","Sold (asking: $2,250,000.00 -2.22%)",2 beds,2 baths,1546
20 Pine Street,06/15/2016,#618,"$2,088,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,06/13/2016,#2405,"$825,000",Sold (cannot find gov't record),studio,1 bath,644
20 Pine Street,06/13/2016,#1507,"$840,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,05/25/2016,#907,"$849,000",Sold (cannot find gov't record),studio,1 bath,675
20 Pine Street,05/20/2016,#713,"$2,110,000","Sold (asking: $2,150,000.00 -1.86%)",2 beds,2 baths,1585
20 Pine Street,05/10/2016,#911,"$1,895,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1223
20 Pine Street,05/10/2016,#2209,"$2,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1450
20 Pine Street,05/06/2016,#2208,"$999,999","Sold (asking: $975,000.00 2.56%)",studio,1 bath,927
20 Pine Street,05/06/2016,#1207,"$850,000","Sold (asking: $859,000.00 -1.05%)",studio,1 bath,675
20 Pine Street,04/28/2016,#2503,"$1,025,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,700
20 Pine Street,04/26/2016,#1009,"$845,000","Sold (asking: $855,000.00 -1.17%)",studio,1 bath,662
20 Pine Street,04/04/2016,#1803,"$750,774","Sold (asking: $865,000.00 -13.21%)",studio,1 bath,656
20 Pine Street,03/27/2016,#1513,"$2,500,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,03/25/2016,#803,"$815,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,03/24/2016,#1805,"$1,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,03/22/2016,#1912,"$905,000","Sold (asking: $925,000.00 -2.16%)",studio,1 bath,666
20 Pine Street,03/22/2016,#907,"$790,000",Recorded Closing,,1 bath,675
20 Pine Street,03/21/2016,#1915,"$881,800","Sold (asking: $898,000.00 -1.8%)",studio,1 bath,703
20 Pine Street,02/12/2016,#2701,"$3,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1808
20 Pine Street,01/26/2016,#2104,"$885,000","Sold (asking: $895,000.00 -1.12%)",studio,1 bath,701
20 Pine Street,01/14/2016,#2505,"$1,332,500","Sold (asking: $1,350,000.00 -1.3%)",1 bed,1 bath,721
20 Pine Street,12/31/2015,#514,"$1,749,000",Sold (cannot find gov't record),2 beds,2 baths,1204
20 Pine Street,12/30/2015,#1418,"$1,950,000","Sold (asking: $1,995,000.00 -2.26%)",2 beds,2 baths,1387
20 Pine Street,12/22/2015,#2208,"$1,095,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,926
20 Pine Street,12/17/2015,#1408,"$1,450,000","Sold (asking: $1,590,000.00 -8.81%)",1 bed,1.5 baths,1200
20 Pine Street,12/14/2015,#516,"$1,199,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1006
20 Pine Street,11/29/2015,#1510,"$1,250,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1101
20 Pine Street,11/20/2015,#2011,"$760,000","Sold (asking: $795,000.00 -4.4%)",studio,1 bath,595
20 Pine Street,11/19/2015,#1801,"$1,175,000",Sold (cannot find gov't record),studio,1 bath,1005
20 Pine Street,11/10/2015,#1614,"$1,680,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1204
20 Pine Street,11/10/2015,#2405,"$805,000","Sold (asking: $825,000.00 -2.42%)",studio,1 bath,644
20 Pine Street,11/09/2015,#1217,"$939,500","Sold (asking: $970,000.00 -3.14%)",studio,1 bath,888
20 Pine Street,10/26/2015,#1107,"$850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,10/16/2015,#1012,"$895,000",Sold (cannot find gov't record),studio,1 bath,785
20 Pine Street,10/12/2015,#2012,"$830,000","Sold (asking: $835,000.00 -0.6%)",studio,1 bath,667
20 Pine Street,10/08/2015,#2703,"$880,000","Sold (asking: $899,000.00 -2.11%)",studio,1 bath,708
20 Pine Street,10/02/2015,#1617,"$970,000","Sold (asking: $999,000.00 -2.9%)",studio,1 bath,888
20 Pine Street,09/17/2015,#1002,"$1,980,000",Sold (cannot find gov't record),2 beds,2 baths,1277
20 Pine Street,09/17/2015,#2501,"$2,375,000","Sold (asking: $2,400,000.00 -1.04%)",2 beds,2 baths,1295
20 Pine Street,09/16/2015,#1002,"$1,875,000",Recorded Closing,2 beds,2 baths,1277
20 Pine Street,09/14/2015,#2003,"$999,000","Sold (asking: $999,000.00)",studio,1 bath,820
20 Pine Street,09/08/2015,#2112,"$825,000",Sold (cannot find gov't record),studio,1 bath,670
20 Pine Street,09/02/2015,#1003,"$825,000","Sold (asking: $839,000.00 -1.67%)",studio,1 bath,656
20 Pine Street,09/02/2015,#911,"$1,250,000","Sold (asking: $1,268,000.00 -1.42%)",1 bed,1 bath,2446
20 Pine Street,09/01/2015,#2315,"$880,000","Sold (asking: $899,000.00 -2.11%)",studio,1 bath,703
20 Pine Street,08/26/2015,#1007,"$820,000","Sold (asking: $825,000.00 -0.61%)",studio,1 bath,675
20 Pine Street,08/24/2015,#902,$0,Recorded Closing,2 beds,2 baths,1277
20 Pine Street,08/11/2015,#713,"$2,350,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,08/11/2015,#2112,"$795,000",Recorded Closing,,1 bath,667
20 Pine Street,08/06/2015,#1012,"$845,000",Recorded Closing,1 bed,1 bath,785
20 Pine Street,08/05/2015,#503,"$819,000",Sold (cannot find gov't record),studio,1 bath,670
20 Pine Street,08/05/2015,#503,"$805,000",Recorded Closing,,1 bath,670
20 Pine Street,08/04/2015,#1217,"$970,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,
20 Pine Street,07/15/2015,#1908,"$1,125,000","Sold (asking: $1,125,000.00)",studio,1 bath,927
20 Pine Street,07/14/2015,#1903,"$1,140,000","Sold (asking: $1,128,000.00 1.06%)",studio,1 bath,820
20 Pine Street,07/10/2015,#3001,"$2,775,000","Sold (asking: $2,895,000.00 -4.15%)",2 beds,2 baths,1579
20 Pine Street,07/06/2015,#2015,"$850,000",Recorded Closing,,1 bath,703
20 Pine Street,06/29/2015,#1517,"$975,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,06/25/2015,#619,"$1,150,000","Sold (asking: $1,195,000.00 -3.77%)",1 bed,1 bath,826
20 Pine Street,06/24/2015,#2015,"$858,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,703
20 Pine Street,06/22/2015,#514,"$1,795,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1204
20 Pine Street,06/22/2015,#1603,"$775,000",Sold (cannot find gov't record),studio,1 bath,656
20 Pine Street,06/22/2015,#3003,"$2,000,000",Sold (cannot find gov't record),2 beds,2 baths,1200
20 Pine Street,06/22/2015,#1210,$0,Recorded Closing,1 bed,1 bath,1101
20 Pine Street,06/18/2015,#913,"$2,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,06/16/2015,#1210,"$390,000",Recorded Closing,1 bed,1 bath,1101
20 Pine Street,06/16/2015,#2210,"$780,000",Recorded Closing,,1 bath,660
20 Pine Street,05/14/2015,#2311,"$735,000",Recorded Closing,,1 bath,600
20 Pine Street,04/30/2015,#3103,"$2,000,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1197
20 Pine Street,04/29/2015,#1911,"$770,000",Recorded Closing,,1 bath,595
20 Pine Street,04/28/2015,#3201,"$2,475,000","Sold (asking: $2,595,000.00 -4.62%)",3 beds,2 baths,3158
20 Pine Street,04/22/2015,#409,"$1,537,500","Sold (asking: $1,575,000.00 -2.38%)",2 beds,2 baths,1225
20 Pine Street,04/13/2015,#1816,"$1,150,000",Sold (cannot find gov't record),studio,1 bath,1005
20 Pine Street,04/10/2015,#1805,"$1,225,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,03/30/2015,#905,"$1,300,000","Sold (asking: $1,325,000.00 -1.89%)",2 beds,1 bath,1100
20 Pine Street,03/24/2015,#1217,"$998,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,03/20/2015,#3204,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,03/20/2015,#2413,"$825,000",Sold (cannot find gov't record),studio,1 bath,
20 Pine Street,03/20/2015,#1815,"$839,000",Sold (cannot find gov't record),studio,1 bath,822
20 Pine Street,03/20/2015,#616,$0,Recorded Closing,,,
20 Pine Street,03/13/2015,#2312,"$820,000","Sold (asking: $845,000.00 -2.96%)",studio,1 bath,675
20 Pine Street,03/13/2015,#3003,"$1,800,000","Sold (asking: $2,000,000.00 -10.0%)",2 beds,2 baths,1200
20 Pine Street,02/16/2015,#2501,"$2,600,000",Sold (cannot find gov't record),2 beds,2 baths,
20 Pine Street,02/03/2015,#3103,"$2,000,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1197
20 Pine Street,02/03/2015,#1815,"$839,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,02/03/2015,#2413,"$825,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,
20 Pine Street,02/01/2015,#3201,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1600
20 Pine Street,01/28/2015,#1609,"$760,000","Sold (asking: $770,000.00 -1.3%)",studio,1 bath,662
20 Pine Street,01/21/2015,#2008,"$965,000",Recorded Closing,,1 bath,927
20 Pine Street,01/16/2015,#2314,"$1,230,000","Sold (asking: $1,285,000.00 -4.28%)",1 bed,1 bath,991
20 Pine Street,01/14/2015,#1801,"$1,275,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1005
20 Pine Street,01/13/2015,#2114,"$1,210,000","Sold (asking: $1,225,000.00 -1.22%)",1 bed,1 bath,991
20 Pine Street,12/23/2014,#3004,$0,Recorded Closing,2 beds,2 baths,1575
20 Pine Street,12/22/2014,#2103,"$975,000",Recorded Closing,,1 bath,820
20 Pine Street,12/18/2014,#715,$0,Recorded Closing,,1 bath,822
20 Pine Street,12/16/2014,#701,"$1,090,000","Sold (asking: $1,175,000.00 -7.23%)",studio,1 bath,1005
20 Pine Street,12/09/2014,#2502,"$950,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,729
20 Pine Street,12/03/2014,#1501,"$1,105,000","Sold (asking: $1,095,000.00 0.91%)",studio,1 bath,1005
20 Pine Street,11/26/2014,#2706,"$1,250,000","Sold (asking: $1,250,000.00)",1 bed,2 baths,956
20 Pine Street,11/19/2014,#1003,"$829,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,11/18/2014,#1105,"$1,206,000","Sold (asking: $1,250,000.00 -3.52%)",1 bed,1 bath,1100
20 Pine Street,11/12/2014,#1401,"$1,160,000","Sold (asking: $1,185,000.00 -2.11%)",1 bed,1 bath,1005
20 Pine Street,11/10/2014,#410,$0,Recorded Closing,,,
20 Pine Street,11/07/2014,#3204,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,11/06/2014,#1006,"$1,077,000","Sold (asking: $1,099,000.00 -2.0%)",studio,1 bath,1070
20 Pine Street,11/03/2014,#2014,"$1,266,000","Sold (asking: $1,266,000.00)",1 bed,1 bath,991
20 Pine Street,10/31/2014,#1603,"$740,000","Sold (asking: $775,000.00 -4.52%)",studio,1 bath,656
20 Pine Street,10/29/2014,#1504,"$1,625,000","Sold (asking: $1,625,000.00)",2 beds,2 baths,1277
20 Pine Street,10/27/2014,#1816,"$1,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,10/10/2014,#1716,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,10/06/2014,#2208,$0,Recorded Closing,1 bed,1 bath,927
20 Pine Street,10/04/2014,#2409,"$2,100,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,09/29/2014,#1711,"$1,150,000",Recorded Closing,,2 baths,1225
20 Pine Street,09/18/2014,#707,"$748,000","Sold (asking: $749,000.00 -0.13%)",studio,1 bath,675
20 Pine Street,09/16/2014,#2305,"$782,000","Sold (asking: $799,000.00 -2.13%)",studio,1 bath,650
20 Pine Street,09/12/2014,#1610,"$1,165,000","Sold (asking: $1,189,500.00 -2.06%)",1 bed,1 bath,1101
20 Pine Street,09/10/2014,#1205,"$1,090,000",Sold (cannot find gov't record),1 bed,1 bath,1100
20 Pine Street,09/10/2014,#506,"$995,000","Sold (asking: $1,050,000.00 -5.24%)",1 bed,1 bath,1070
20 Pine Street,09/09/2014,#3204,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1600
20 Pine Street,09/09/2014,#1103,"$790,000","Sold (asking: $790,000.00)",studio,1 bath,660
20 Pine Street,09/02/2014,#1913,"$960,000","Sold (asking: $983,000.00 -2.34%)",studio,1 bath,951
20 Pine Street,08/21/2014,#708,"$1,251,000","Sold (asking: $1,295,000.00 -3.4%)",1 bed,1.5 baths,1208
20 Pine Street,08/21/2014,#1112,"$850,000",Recorded Closing,,1 bath,784
20 Pine Street,08/09/2014,#2407,"$983,000",Recorded Closing,1 bed,1 bath,926
20 Pine Street,08/07/2014,#2407,"$999,000",Sold (cannot find gov't record),studio,1 bath,926
20 Pine Street,08/04/2014,#2502,"$950,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,729
20 Pine Street,07/28/2014,#3302,"$1,450,000","Sold (asking: $1,450,000.00)",1 bed,1.5 baths,1185
20 Pine Street,07/25/2014,#1906,$0,Recorded Closing,2 beds,3 baths,1807
20 Pine Street,07/23/2014,#2706,"$1,250,000",Sold (cannot find gov't record),1 bed,2 baths,956
20 Pine Street,07/21/2014,#2308,"$970,000","Sold (asking: $999,000.00 -2.9%)",studio,1 bath,925
20 Pine Street,07/16/2014,#3201,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1600
20 Pine Street,07/16/2014,#1415,"$899,000","Sold (asking: $899,000.00)",studio,1 bath,820
20 Pine Street,07/11/2014,#1210,$0,Recorded Closing,1 bed,1 bath,1101
20 Pine Street,07/10/2014,#1501,"$1,095,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,07/09/2014,#1204,"$1,595,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1277
20 Pine Street,06/23/2014,#1711,"$1,195,000",Sold (cannot find gov't record),studio,1 bath,1225
20 Pine Street,06/19/2014,#1012,$0,Recorded Closing,1 bed,1 bath,785
20 Pine Street,06/17/2014,#1101,"$929,000",Sold (cannot find gov't record),1 bed,1 bath,1050
20 Pine Street,06/17/2014,#1813,"$1,995,000",Sold (cannot find gov't record),2 beds,2 baths,1585
20 Pine Street,06/11/2014,#32O4,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1600
20 Pine Street,06/10/2014,#708,"$1,299,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1208
20 Pine Street,06/06/2014,#1111,"$1,129,940","Sold (asking: $1,169,000.00 -3.34%)",2 beds,1 bath,1223
20 Pine Street,05/22/2014,#1411,"$1,085,000","Sold (asking: $1,125,000.00 -3.56%)",2 beds,1 bath,1223
20 Pine Street,05/20/2014,#1215,"$885,000","Sold (asking: $895,000.00 -1.12%)",studio,1 bath,822
20 Pine Street,05/16/2014,#2010,"$750,000","Sold (asking: $769,000.00 -2.47%)",1 bed,1 bath,607
20 Pine Street,05/14/2014,#3201,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1600
20 Pine Street,05/12/2014,#1812,$0,Recorded Closing,1 bed,1 bath,788
20 Pine Street,05/08/2014,#2114,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,05/07/2014,#618,"$1,470,000",Sold (cannot find gov't record),2 beds,2 baths,1387
20 Pine Street,04/22/2014,#2413,"$820,000","Sold (asking: $825,000.00 -0.61%)",studio,1 bath,817
20 Pine Street,04/08/2014,#1016,"$1,025,000",Sold (cannot find gov't record),1 bed,1 bath,1005
20 Pine Street,04/07/2014,#1018,"$1,540,000","Sold (asking: $1,690,000.00 -8.88%)",2 beds,2 baths,1387
20 Pine Street,04/01/2014,#3204,"$2,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1580
20 Pine Street,03/26/2014,#1012,"$825,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,785
20 Pine Street,03/21/2014,#1016,"$995,000","Sold (asking: $1,049,000.00 -5.15%)",1 bed,1 bath,1005
20 Pine Street,03/11/2014,#2209,"$1,650,000",Recorded Closing,2 beds,2 baths,1444
20 Pine Street,03/10/2014,#3301,"$2,150,000","Sold (asking: $2,295,000.00 -6.32%)",2 beds,2 baths,1579
20 Pine Street,03/07/2014,#2403,$0,Recorded Closing,1 bed,1 bath,820
20 Pine Street,02/10/2014,#618,"$1,470,000",Recorded Closing,2 beds,2 baths,1387
20 Pine Street,02/07/2014,#706,"$1,125,000","Sold (asking: $1,125,000.00)",1 bed,1 bath,1070
20 Pine Street,01/28/2014,#1606,"$1,075,000","Sold (asking: $1,075,000.00)",studio,1 bath,1070
20 Pine Street,01/17/2014,#613,"$547,341",Recorded Closing,,,
20 Pine Street,01/17/2014,#1402,$0,Recorded Closing,2 beds,2 baths,1277
20 Pine Street,12/19/2013,#2002,"$1,681,000","Sold (asking: $1,900,000.00 -11.53%)",2 beds,2 baths,1546
20 Pine Street,12/18/2013,#2009,"$1,545,000",Sold (cannot find gov't record),2 beds,2 baths,1444
20 Pine Street,12/12/2013,#809,"$799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,662
20 Pine Street,12/11/2013,#919,"$1,080,000","Sold (asking: $1,095,000.00 -1.37%)",1 bed,1 bath,900
20 Pine Street,12/10/2013,#1610,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,1 bath,1101
20 Pine Street,12/04/2013,#516,"$964,000","Sold (asking: $980,000.00 -1.63%)",studio,1 bath,1006
20 Pine Street,11/25/2013,#2009,$0,Recorded Closing,2 beds,2 baths,1550
20 Pine Street,11/25/2013,#2009,"$1,510,000",Recorded Closing,2 beds,2 baths,1550
20 Pine Street,11/21/2013,#1512,$0,Recorded Closing,1 bed,1 bath,800
20 Pine Street,11/20/2013,#1202,"$1,595,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
20 Pine Street,11/13/2013,#1813,"$1,765,000","Sold (asking: $1,995,000.00 -11.53%)",2 beds,2 baths,1585
20 Pine Street,11/08/2013,#1017,"$850,000","Sold (asking: $865,000.00 -1.73%)",studio,1 bath,918
20 Pine Street,11/05/2013,#1005,$0,Recorded Closing,,1 bath,1100
20 Pine Street,10/26/2013,#1613,"$1,875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,10/24/2013,#1605,"$1,100,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1100
20 Pine Street,10/24/2013,#1205,"$1,035,500","Sold (asking: $1,135,000.00 -8.77%)",1 bed,1 bath,1100
20 Pine Street,10/23/2013,#1904,"$865,000","Sold (asking: $899,000.00 -3.78%)",studio,1 bath,700
20 Pine Street,10/11/2013,#704,"$1,339,000","Sold (asking: $1,368,000.00 -2.12%)",1 bed,2 baths,1277
20 Pine Street,10/10/2013,#606,"$995,000","Sold (asking: $999,000.00 -0.4%)",studio,1 bath,1070
20 Pine Street,09/20/2013,#1103,"$840,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,09/20/2013,#2310,"$670,000","Sold (asking: $670,000.00)",studio,1 bath,607
20 Pine Street,09/19/2013,#1815,"$822,000",Recorded Closing,,1 bath,822
20 Pine Street,09/17/2013,#518,"$1,398,000","Sold (asking: $1,485,000.00 -5.86%)",2 beds,2 baths,1387
20 Pine Street,09/10/2013,#3204,"$2,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1580
20 Pine Street,09/10/2013,#3201,"$2,449,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1580
20 Pine Street,09/06/2013,#1102,"$1,440,000","Sold (asking: $1,495,000.00 -3.68%)",2 beds,2 baths,1277
20 Pine Street,08/26/2013,#2011,"$620,000","Sold (asking: $645,000.00 -3.88%)",studio,1 bath,595
20 Pine Street,08/26/2013,#402,"$1,076,000","Sold (asking: $1,100,000.00 -2.18%)",1 bed,1.5 baths,1076
20 Pine Street,08/16/2013,#2113,"$775,000","Sold (asking: $779,000.00 -0.51%)",studio,1 bath,855
20 Pine Street,08/09/2013,#711,"$1,060,000","Sold (asking: $1,140,000.00 -7.02%)",2 beds,1 bath,1223
20 Pine Street,08/02/2013,#2605,"$770,000","Sold (asking: $899,000.00 -14.35%)",1 bed,1 bath,722
20 Pine Street,07/26/2013,#1218,"$1,413,888","Sold (asking: $1,469,000.00 -3.75%)",2 beds,2 baths,1387
20 Pine Street,07/26/2013,#2407,"$865,000","Sold (asking: $890,000.00 -2.81%)",studio,1 bath,926
20 Pine Street,07/25/2013,#604,"$1,399,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1277
20 Pine Street,07/25/2013,#1505,"$1,100,000","Sold (asking: $1,150,000.00 -4.35%)",1 bed,1 bath,1100
20 Pine Street,07/16/2013,#1518,"$1,400,000",Recorded Closing,2 beds,2 baths,1387
20 Pine Street,07/15/2013,#916,"$935,000","Sold (asking: $950,000.00 -1.58%)",studio,1 bath,1150
20 Pine Street,07/12/2013,#713,"$1,945,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,07/10/2013,#1619,"$940,000","Sold (asking: $990,000.00 -5.05%)",1 bed,1 bath,826
20 Pine Street,07/01/2013,#1810,$0,Recorded Closing,,1 bath,1101
20 Pine Street,07/01/2013,#1810,"$985,000","Sold (asking: $999,000.00 -1.4%)",1 bed,1 bath,1101
20 Pine Street,06/28/2013,#1901,"$850,000",Recorded Closing,,1 bath,827
20 Pine Street,06/27/2013,#617,"$771,000","Sold (asking: $799,000.00 -3.5%)",studio,1 bath,888
20 Pine Street,06/26/2013,#2014,"$990,000","Sold (asking: $1,050,000.00 -5.71%)",1 bed,1 bath,991
20 Pine Street,06/25/2013,#3304,"$2,300,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1575
20 Pine Street,06/25/2013,#3003,"$1,500,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1197
20 Pine Street,06/17/2013,#716,"$799,000",Sold (cannot find gov't record),studio,1 bath,1005
20 Pine Street,06/13/2013,#3302,"$1,365,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1185
20 Pine Street,06/12/2013,#1017,"$899,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,06/07/2013,#1512,"$774,000","Sold (asking: $789,000.00 -1.9%)",1 bed,1 bath,800
20 Pine Street,06/03/2013,#716,"$770,000",Recorded Closing,,1 bath,1005
20 Pine Street,05/30/2013,#710,"$975,000","Sold (asking: $995,000.00 -2.01%)",1 bed,1 bath,1101
20 Pine Street,05/21/2013,#2113,"$789,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,817
20 Pine Street,05/09/2013,#1218,"$1,499,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,04/02/2013,#1203,"$585,000",Recorded Closing,,1 bath,656
20 Pine Street,04/02/2013,#1713,"$1,415,000","Sold (asking: $1,835,000.00 -22.89%)",2 beds,2 baths,1585
20 Pine Street,04/01/2013,#606,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,04/01/2013,#1909,"$1,500,000","Sold (asking: $2,515,000.00 -40.36%)",2 beds,2 baths,1444
20 Pine Street,03/15/2013,#3102,"$1,650,000",Sold (cannot find gov't record),1 bed,1 bath,1185
20 Pine Street,03/14/2013,#610,"$950,000","Sold (asking: $995,000.00 -4.52%)",1 bed,1 bath,1100
20 Pine Street,03/13/2013,#1913,"$899,000",Sold (cannot find gov't record),studio,1 bath,817
20 Pine Street,03/13/2013,#3102,"$1,225,000",Recorded Closing,1 bed,1.5 baths,1185
20 Pine Street,03/11/2013,#711,"$1,090,000",Sold (cannot find gov't record),studio,1 bath,1223
20 Pine Street,03/11/2013,#1913,"$697,501",Recorded Closing,,1 bath,951
20 Pine Street,03/08/2013,#1019,"$850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,826
20 Pine Street,03/03/2013,#33013302,"$3,540,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,4 beds,3.5 baths,2764
20 Pine Street,02/28/2013,#911,"$1,125,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1223
20 Pine Street,02/28/2013,#814,"$1,145,000","Sold (asking: $1,195,000.00 -4.18%)",1 bed,2 baths,1204
